Size|Sorting Algorithm|File Name|File Input Type|Time Taken

10000|bubble sort|randomlist.txt|random|0.468750
10000|selection sort|randomlist.txt|random|0.187500
10000|insertion sort|randomlist.txt|random|0.109375
10000|quick sort|randomlist.txt|random|0.000000
10000|merge sort|randomlist.txt|random|0.015625
10000|heap sort|randomlist.txt|random|0.000000
10000|bubble sort|ascorder.txt|asc|0.203125
10000|selection sort|ascorder.txt|asc|0.171875
10000|insertion sort|ascorder.txt|asc|0.000000
10000|quick sort|ascorder.txt|asc|0.015625
10000|merge sort|ascorder.txt|asc|0.000000
10000|heap sort|ascorder.txt|asc|0.000000
10000|bubble sort|descorder.txt|desc|0.296875
10000|selection sort|descorder.txt|desc|0.187500
10000|insertion sort|descorder.txt|desc|0.187500
10000|quick sort|descorder.txt|desc|0.046875
10000|merge sort|descorder.txt|desc|0.000000
10000|heap sort|descorder.txt|desc|0.000000
10500|bubble sort|randomlist.txt|random|0.406250
10500|selection sort|randomlist.txt|random|0.234375
10500|insertion sort|randomlist.txt|random|0.093750
10500|quick sort|randomlist.txt|random|0.015625
10500|merge sort|randomlist.txt|random|0.000000
10500|heap sort|randomlist.txt|random|0.000000
10500|bubble sort|ascorder.txt|asc|0.203125
10500|selection sort|ascorder.txt|asc|0.203125
10500|insertion sort|ascorder.txt|asc|0.000000
10500|quick sort|ascorder.txt|asc|0.015625
10500|merge sort|ascorder.txt|asc|0.000000
10500|heap sort|ascorder.txt|asc|0.000000
10500|bubble sort|descorder.txt|desc|0.484375
10500|selection sort|descorder.txt|desc|0.250000
10500|insertion sort|descorder.txt|desc|0.218750
10500|quick sort|descorder.txt|desc|0.078125
10500|merge sort|descorder.txt|desc|0.000000
10500|heap sort|descorder.txt|desc|0.000000
11000|bubble sort|randomlist.txt|random|0.500000
11000|selection sort|randomlist.txt|random|0.203125
11000|insertion sort|randomlist.txt|random|0.125000
11000|quick sort|randomlist.txt|random|0.015625
11000|merge sort|randomlist.txt|random|0.000000
11000|heap sort|randomlist.txt|random|0.000000
11000|bubble sort|ascorder.txt|asc|0.218750
11000|selection sort|ascorder.txt|asc|0.203125
11000|insertion sort|ascorder.txt|asc|0.000000
11000|quick sort|ascorder.txt|asc|0.015625
11000|merge sort|ascorder.txt|asc|0.000000
11000|heap sort|ascorder.txt|asc|0.000000
11000|bubble sort|descorder.txt|desc|0.375000
11000|selection sort|descorder.txt|desc|0.234375
11000|insertion sort|descorder.txt|desc|0.218750
11000|quick sort|descorder.txt|desc|0.046875
11000|merge sort|descorder.txt|desc|0.000000
11000|heap sort|descorder.txt|desc|0.000000
11500|bubble sort|randomlist.txt|random|0.703125
11500|selection sort|randomlist.txt|random|0.250000
11500|insertion sort|randomlist.txt|random|0.140625
11500|quick sort|randomlist.txt|random|0.000000
11500|merge sort|randomlist.txt|random|0.000000
